question,tag,answer
নামজারি আবেদন জমা দিতে কি সেবাপোর্টালে যেতে হয়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারির জন্য রেজিস্ট্রেশন করতে চাচ্ছিলাম তো এখন কি কি ডকুমেন্টস লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
"নামজারি, খারিজ, মিউটেশন নিবন্ধন করতে এনআইডি বা জন্মনিবন্ধন লাগে কি?",namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনের জন্য কাগজপত্র কি লাগবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধন করতে কোন ফরম পূরণ করতে হয়?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
নিবন্ধনে কি ওটিপি আসবে?,namjari_registration,প্রথমে land.gov.bd ক্লিক করলে  নিবন্ধন বাটনে ক্লিক করবেন। নিবন্ধন করতে নিজের মোবাইল ও নিজ নামে মোবাইল নম্বর থাকা ভাল। আবেদনকারীর এনআইডি বা জন্মনিবন্ধন থাকতে হবে।
আমি না থাকলে প্রতিনিধি দিয়ে কি আবেদন করা সম্ভব?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
আমি নিজ এলাকার বাইরে থাকি অন্য কেউ প্রতিনিধি হয়ে নামজারির আবেদন করতে পারে কিনা?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
আমি বিদেশে থাকি আমার ভাই বা আত্মীয় নামজারির আবেদন করতে পারে কিনা?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
আমি হচ্ছে প্রবাসী আরকি এখন আমার খারিজ টা দেশে কি অন্য কেউ করতে পারবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
আমি মহিলা মানুষ জমিজমার অত শত বুঝিনা এখন খারিজ নামজারি টে অন্য আরেকজন আমার সোয়ামি ভাই বাপ করতে পারবে কি?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
প্রতিনিধি দিয়ে নামজারি করালে কি জমি তার নামে হয়ে যাবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
প্রতিনিধি দিয়ে নামজারির আবেদন করলে তার পক্ষে কি কাগজ দিতে হয়।,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
আমি তো এলাকায় থাকিনা এখন আমার খারিজ অন্য কেউ করলে সেই ক্ষেত্রে কি কি লাগবে?,namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
"প্রতিনিধি দিয়ে নামজারির আবেদন করলে তার পক্ষে কি কাগজ, ডকুমেন্টস দিতে হয়।",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
"নামজারি, খারিজ, মিউটেশন আবেদন প্রতিনিধি হলে কি পরিচয়পত্র লাগবে?",namjari_by_representative,"প্রতিনিধি দিয়ে নামজারির আবেদন করা যায়, তবে প্রতিনিধির প্রমান হিসাবে অথোরাইজেসন পত্র বা ক্ষমতা অর্পনের পত্র দিতে হয়। প্রতিনিধির নামে নামজারি হয় না , শুধু তিনি আবেদনকারী থাকেন। তবে নিজে নিজেই নামজারি আবেদন করা উত্তম।"
"কখন নামজারি, খারিজ, মিউটেশন করা আবশ্যক?",namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
"নামজারি, খারিজ, মিউটেশন কবে করতে হয়?",namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
"জমি কেনার পর নামজারি, খারিজ, মিউটেশন করতে হবে কি?",namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
"কোর্ট রায়ে জমি পেয়েছি, নামজারি কি বাধ্যতামূলক?",namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
ডিক্রির ভিত্তিতে নামজারি করার পদ্ধতি কী?,namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
কোর্টের রায় অনুযায়ী জমি পেলে নামজারি করতে হবে কি?,namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
"ফ্ল্যাটের জমির নামজারি, খারিজ, মিউটেশন করার দরকার আছে?",namjari_eligibility,আপনি হস্তান্তর দলিল মূলে ক্রয় বা হেবা বা এওয়াজবদল বা উত্তরাধিকারীসূত্রে বা কোর্টের আদেশে যদি জমির মালিক হয়ে থাকেন তবে অবশ্যই আপনাকে নামজারি করতে হবে।
"আমি একটা জমি কিনেছি এখন নামজারি, খারিজ, মিউটেশন করতে চাই, দলিল ছাড়াও নামজারির জন্য কি কিছু লাগে?",namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
"আমি একটা জমি কিনেছি এখন নামজারি, খারিজ, মিউটেশন করতে চাই, দলিল ছাড়া আর কি কাগজ জমা দিতে হয় নামজারিতে?",namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
নামজারি করতে অতিরিক্ত কি লাগে দলিল ছাড়া?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
"ভূমি উন্নয়ন কর হালতক দেয়া নাই নামজারি, খারিজ, মিউটেশন করা যাবে কি?",namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
উন্নয়ন কর না পরিশোধ করলে নামজারি হবে কি?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
যিনি দলিল করেছেন তিনি কি মালিক হতে হবে নামজারির জন্য?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
দলিলের দাতার নামে রেকর্ড না থাকলে নামজারি করা যাবে?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
নামজারি করতে ফটোকপি যথেষ্ট কি?,namjari_required_documents,"ক্রয় বা হেবা বা এওয়াজবদল দলিল মূলে নামজারি করতে- মূল দলিলের মূল কপি বা সার্টিফাইড কপি, দাতার নামে রেকর্ডীয় বা নামজারি খতিয়ান, না থাকলে ভায়া দলিল, যাদের নামে নামজারি হবে তাদের ছবি, এনআইডি ও হালতক শূমি উন্নয়ন করদেয়া প্রমান বা দাখিলা।দলিলের ফটোকপি দিয়ে নামজারি করা যাবে না। আপলোডেড সকল দলিল আবেদনগ্রহীতার একাউন্টে থাকবে, কাজেই মূল দলিল বা সার্টিফাইড কপি দিতে হবে।"
উত্তরাধিকার সূত্রে নামজারি করতে হলে কি কাগজ দরকার?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
বাবার মৃত্যুর পর জমির নামজারিতে কিকি কাগজপত্র জমা দিতে হয়?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
জমি উত্তরাধিকারসূত্রে পেলে কি নামজারি অনলাইনে হয়?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
অনলাইনে ওয়ারিশ অনুযায়ী নামজারি কিভাবে করবো?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
ওয়ারিশ হিসেবে নামজারি করতে হলে কী কী ধাপ অনুসরণ করতে হবে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
উত্তরাধিকার সূত্রে নামজারির জন্য কি করতে হবে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
উত্তরাধিকার হিসেবে নামজারি না করলে কি সমস্যা হবে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
জমির ভাগাভাগির দলিল না থাকলে কি নামজারি করা যাবে?,namjari_inheritance_documents,"মূল মালিকের মৃত্যুর পরে তার ওয়ারিশগণের নামে নামজারি করতে যদি একটি খতিয়ানে সকল ওয়ারিশদের নাম রাখা হয় তবে রেজিস্টার্ড বন্টননামা লাগবে না, যদি একাধিক ওয়ারিশানদের নামে পৃথক খতিয়ান করতে চায় সেক্ষেত্রে রেজিস্টার্ড বন্টননামা লাগবে। এছাড়া হাল ওয়াশিাননামা, মূল মালিকের খতিয়ানের বা নামজারি খতিয়ানের কপি, সকলের ছবি ও এনআইডি লাগবে।"
নামজারি করতে কত টাকা সরকারকে দিতে হবে?,namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।"
"কেউ নামজারির জন্য ৫০০০ টাকা চাচ্ছে, এটা কি ঠিক?",namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।"
"নামজারি, খারিজ, মিউটেশন করতে ৫০০০ টাকা লাগার কথা বলছে, আসলে কত?",namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।"
একসাথে কয়েকটা আবেদন করলে কি বেশি খরচ হয়?,namjari_fee,"নামজারি করতে সরকারি ফি মোট ১১৭০/ টাকা। প্রতিটি নামচারির জন্য প্রথমে ২০/ টাকা কোর্ট ফি, পরে ফরম দিাখির করলে ৫০/ টাকা নোটিশ জারি ফি এবং নামজারি মঞ্জুর হলে এর ফি বাবদ ডিসিআরএর জন্য  ১১০০/ টাকা দেয় লাগে। আর কোন টাকা দেয়া লাগে না।"
নামজারির আবেদন দাখিলের পর শুনানীর জন্য কিভাবে জানবো?,namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।"
আমার নামজারির শুনানির সময় জানার কোনো সহজ উপায় আছে?,namjari_hearing_notification,"নামজারি আবেদন দাখিল হলে মোবাইলে এসএমএস যাবে ও কাগজেও নোটিশ যাবে। এসএমএস বা নোটিশে শুনানীর তারিখ ও সময় থাকবে, মোবাইল করার প্রয়োজন হবে না।"
